x,predicted,std.error,conf.low,conf.high,group
Hourly,22.34670930972335,3.2000416527248063,16.0747429213547,28.618675698092,Survey 2
Hourly,16.901003141864017,3.2496846839068314,10.531738200295198,23.270268083432835,Survey 3
Up to twice a day,19.02512486852634,1.122539187395998,16.824988489995327,21.225261247057354,Survey 2
Up to twice a day,14.840397891593678,1.1066507460132369,12.671402285943351,17.009393497244005,Survey 3
Daily,19.026116990759323,0.6765986402429754,17.70000802389432,20.352225957624327,Survey 2
Daily,16.189286179643226,0.6722468727673749,14.87170652029949,17.50686583898696,Survey 3
Several times a week,15.683284677315571,0.5328515535713606,14.63891482320949,16.727654531421653,Survey 2
Several times a week,12.29483045092218,0.533610434230703,11.248973218055223,13.340687683789138,Survey 3
Weekly,15.625521409111478,0.5790342036677698,14.49063522410582,16.760407594117137,Survey 2
Weekly,12.573103949068463,0.57612047649928,11.44392856437382,13.702279333763105,Survey 3
Less than weekly,15.375780370672725,0.60880316376956,14.182548096010347,16.569012645335103,Survey 2
Less than weekly,12.094760350597781,0.6096529391456823,10.899862546803254,13.289658154392308,Survey 3
Never,14.823604243892348,0.8431396022114259,13.171080989618526,16.47612749816617,Survey 2
Never,12.19121931283509,0.8501014042337671,10.525051177329981,13.857387448340198,Survey 3
