x,predicted,std.error,conf.low,conf.high,group
Hourly,19.342705530162597,0.6447704275839057,18.07897871380165,20.606432346523544,Survey 2
Hourly,15.53578079659332,0.6465090884478413,14.268646267557731,16.80291532562891,Survey 3
Up to twice a day,16.59598852221604,0.5251821297915615,15.566650462500538,17.62532658193154,Survey 2
Up to twice a day,13.409086927387055,0.5220326383469276,12.385921757472653,14.432252097301456,Survey 3
Daily,16.1149521921089,0.5528877963309834,15.031312023808454,17.198592360409343,Survey 2
Daily,12.852752483478662,0.5533215358307916,11.768262201379923,13.937242765577402,Survey 3
Several times a week,14.660454507389797,0.9049674697829418,12.886750859434892,16.434158155344704,Survey 2
Several times a week,10.9025351545426,0.8947506192075176,9.148856165750953,12.656214143334246,Survey 3
Weekly,17.365916433884102,1.2578915654179545,14.900494269208203,19.831338598560002,Survey 2
Weekly,15.318251990287928,1.2553950804404261,12.85772284625593,17.778781134319928,Survey 3
Less than weekly,15.164712953421994,1.0904820966436153,13.027407318214781,17.302018588629206,Survey 2
Less than weekly,13.243104694078013,1.0921378456768027,11.102553850398317,15.38365553775771,Survey 3
Never,13.15738917426376,0.7192816519287583,11.747623041742917,14.567155306784601,Survey 2
Never,10.553042616198667,0.7226751204930995,9.136625407509047,11.969459824888286,Survey 3
