x,predicted,std.error,conf.low,conf.high,group
Strongly disagree,12.801876258142457,1.2208945360141923,10.4089669386329,15.194785577652013,Survey 2
Strongly disagree,11.812022227391607,0.9902402067182144,9.87118708618041,13.752857368602804,Survey 3
Disagree,13.254744306375805,0.6244429188109273,12.03085867510532,14.478629937646291,Survey 2
Disagree,10.690790213660726,0.5647331224171254,9.58393363284631,11.797646794475142,Survey 3
Neither agree nor disagree,13.879668833855417,0.5409553189833546,12.819415891402667,14.939921776308168,Survey 2
Neither agree nor disagree,11.652668715450453,0.5136140219397923,10.646003730493694,12.659333700407212,Survey 3
Agree,16.222372206535972,0.3193317395007458,15.596493497993984,16.848250915077962,Survey 2
Agree,12.77919287427671,0.328000623297459,12.136323465707001,13.422062282846419,Survey 3
Strongly agree,21.133149382465515,0.4982358829198719,20.15662499613705,22.10967376879398,Survey 2
Strongly agree,18.221955306244894,0.5296906744321568,17.183780661411134,19.260129951078653,Survey 3
