x,predicted,std.error,conf.low,conf.high,group
Completely unprepared,25.78296127053635,2.2893284174036297,21.295960023641157,30.269962517431544,Survey 2
Completely unprepared,20.763079787057922,1.966357183235654,16.909090527174413,24.61706904694143,Survey 3
Somewhat unprepared,19.635491863706733,0.7526000758473115,18.16042282028389,21.110560907129575,Survey 2
Somewhat unprepared,16.54554412189834,0.8070050957840138,14.963843198821378,18.127245044975304,Survey 3
Neither unprepared or prepared,18.545048852935096,0.7894233516301715,16.997807515185062,20.09229019068513,Survey 2
Neither unprepared or prepared,16.814672615182307,0.8826973824306737,15.084617536370407,18.544727693994204,Survey 3
Somewhat prepared,16.633157680210306,0.32069363820315455,16.004609699261007,17.261705661159606,Survey 2
Somewhat prepared,13.629392911700174,0.3339625530616474,12.974838335514299,14.28394748788605,Survey 3
Very prepared,14.597245022344335,0.3987631679900147,13.815683574722811,15.378806469965859,Survey 2
Very prepared,11.40632690888916,0.3660637593574131,10.688855124503293,12.123798693275026,Survey 3
