x,predicted,std.error,conf.low,conf.high,group
East Midlands,19.183623751683058,1.1217586917830182,16.985017116443576,21.38223038692254,Survey 2
East Midlands,14.494961259852435,1.128972560668086,12.282215701409026,16.707706818295843,Survey 3
East of England,19.060847197604186,1.1304974444927445,16.845112921783837,21.276581473424535,Survey 2
East of England,17.00598010613225,1.1416531341469043,14.768381080367043,19.243579131897455,Survey 3
London,19.192708330206173,0.6929533183219362,17.834544783327658,20.55087187708469,Survey 2
London,15.877857442926702,0.7002185319811446,14.50545433893615,17.250260546917254,Survey 3
North East,11.69001704639026,1.2822251657486012,9.176901901452101,14.203132191328418,Survey 2
North East,10.711172553300603,1.2795861383817522,8.203229806955683,13.219115299645523,Survey 3
North West,16.414670566490738,0.8083299629582242,14.830372951468023,17.998968181513455,Survey 2
North West,13.42194334532612,0.804408209668141,11.84533222550822,14.998554465144021,Survey 3
South East,14.725403122178408,0.7873599098447338,13.182206056012026,16.26860018834479,Survey 2
South East,11.995785340243309,0.784261223874094,10.458661586978781,13.532909093507836,Survey 3
South West,13.832367922239055,0.7125809581786914,12.435734908139777,15.229000936338332,Survey 2
South West,10.02600851604129,0.7112207608786202,8.632041439662022,11.41997559242056,Survey 3
West Midlands,17.443035610981706,1.0950311754672364,15.296813945117362,19.58925727684605,Survey 2
West Midlands,14.8616298696958,1.1051559611839201,12.695563988475572,17.02769575091603,Survey 3
Yorkshire and the Humber,15.828604011228524,1.0273485884027094,13.81503777839115,17.842170244065898,Survey 2
Yorkshire and the Humber,12.204694762820733,1.0161928421323803,10.212993390893871,14.196396134747594,Survey 3
Northern Ireland,14.417824619757521,1.5670604990101646,11.346442480102233,17.48920675941281,Survey 2
Northern Ireland,10.900297033329576,1.5718388723873713,7.819549453950279,13.981044612708873,Survey 3
Scotland,15.50718300382415,0.9225142628306008,13.699088273451654,17.315277734196645,Survey 2
Scotland,12.84880533139929,0.9205871780182917,11.044487617854076,14.653123044944506,Survey 3
Wales,17.833389610055722,1.517803456216866,14.85854950026025,20.808229719851195,Survey 2
Wales,15.787420020686389,1.5091236302458964,12.82959205718609,18.745247984186687,Survey 3
Dublin,17.063449666700837,1.400015395737682,14.31946991325339,19.807429420148285,Survey 2
Dublin,13.47853349174576,1.3834933158491862,10.766936419829458,16.190130563662063,Survey 3
Rest of Ireland,18.983094684765703,1.6021125435978263,15.843011800134107,22.1231775693973,Survey 2
Rest of Ireland,12.816959827307253,1.5671697435425653,9.745363572302953,15.888556082311553,Survey 3
