x,predicted,std.error,conf.low,conf.high,group
Strongly disagree,24.834569575802494,1.0493081235091224,22.77796344503931,26.89117570656568,Survey 2
Strongly disagree,21.8832148690058,1.0233594854520496,19.877467134282345,23.888962603729258,Survey 3
Disagree,20.212168831256733,0.9072601145998694,18.433971682031306,21.99036598048216,Survey 2
Disagree,15.727355827184478,0.6919325000245332,14.371193047403633,17.083518606965324,Survey 3
Neither agree nor disagree,17.696559699642265,0.557293081764969,16.60428533054959,18.78883406873494,Survey 2
Neither agree nor disagree,14.119574894574846,0.479174469393844,13.180410192251822,15.05873959689787,Survey 3
Agree,16.11904921938558,0.3355122543546048,15.461457284478714,16.77664115429245,Survey 2
Agree,12.130846530522428,0.33163398246129083,11.48085586884871,12.780837192196145,Survey 3
Strongly agree,14.529714810383929,0.39845145628962975,13.74876430646872,15.310665314299138,Survey 2
Strongly agree,11.809811714572561,0.47919235781254105,10.87061195159315,12.749011477551973,Survey 3
