x,predicted,std.error,conf.low,conf.high,group
Strongly disagree,18.80570052882072,1.983259103850413,14.918584113262728,22.69281694437871,Survey 2
Strongly disagree,12.233054100171358,1.807804332937691,8.689822716518028,15.776285483824688,Survey 3
Disagree,22.623147434699966,1.4716759550388143,19.738715565910304,25.507579303489628,Survey 2
Disagree,20.492279157411065,1.176661722253599,18.18606455980714,22.79849375501499,Survey 3
Neither agree nor disagree,19.34175980934197,0.7363662122295227,17.898508553939926,20.785011064744012,Survey 2
Neither agree nor disagree,15.548087801386977,0.6013347583022095,14.369493332462548,16.726682270311407,Survey 3
Agree,16.217508232933113,0.3330697941468514,15.564703432067114,16.87031303379911,Survey 2
Agree,12.672192442690495,0.31768485841338717,12.04954156176655,13.29484332361444,Survey 3
Strongly agree,15.751248748196925,0.3607432814403873,15.04420490890897,16.45829258748488,Survey 2
Strongly agree,12.484244230781158,0.41497274162216435,11.670912602635871,13.297575858926445,Survey 3
