x,predicted,std.error,conf.low,conf.high,group
Extremely worried,23.958044864113706,0.7492738388870177,22.489495125337086,25.426594602890326,Survey 2
Extremely worried,20.278388760091993,0.7867597549334632,18.736367975936847,21.820409544247138,Survey 3
Generally worried,18.151041923093906,0.34788536208819826,17.46919914265236,18.832884703535452,Survey 2
Generally worried,14.721158504276314,0.3606636999894233,14.014270641766085,15.428046366786543,Survey 3
Neither worried or not worried,14.295447651163855,0.47773227434822385,13.359109599188928,15.231785703138781,Survey 2
Neither worried or not worried,11.76145114687654,0.48061189661347054,10.81946913897265,12.70343315478043,Survey 3
Generally not worried,13.173137090621942,0.4255614172246693,12.339052039651767,14.007222141592118,Survey 2
Generally not worried,10.628262410334123,0.4083731483741575,9.827865747267543,11.428659073400704,Survey 3
Not worried at all,11.285140676609895,1.3646609951339739,8.610454275040716,13.959827078179075,Survey 2
Not worried at all,9.977575124403133,1.006193026168959,8.005473031616607,11.94967721718966,Survey 3
